CurrentExpiration,Number,Pending
Mar-18,50,30
Apr-18,"2,200","1,020"
May-18,"7,010","2,680"
Jun-18,"5,960","1,750"
Jul-18,"2,780",750
Aug-18,"32,450","6,590"
Sep-18,"33,230","4,860"
Oct-18,"43,500","3,740"
Nov-18,"27,160","1,350"
Dec-18,"20,130",840
Jan-19,"49,010",700
Feb-19,"47,960",430
Mar-19,"51,370",410
Apr-19,"37,030",190
May-19,"32,110",130
Jun-19,"36,080",90
Jul-19,"32,220",100
Aug-19,"40,650",110
Sep-19,"39,900",140
Oct-19,"55,440",190
Nov-19,"32,980",160
Dec-19,"9,780",30
Jan-20,"8,120",20
Feb-20,"21,660",40
Mar-20,"25,070",30
