Country,Number
Mexico,"553,200"
El Salvador,"26,160"
Guatemala,"17,920"
Honduras,"16,420"
Peru,"7,220"
"Korea, South","7,150"
Brazil,"5,730"
Ecuador,"5,360"
Colombia,"4,910"
Argentina,"3,880"
Philippines,"3,800"
India,"2,570"
Jamaica,"2,530"
Venezuela,"2,420"
Dominican Republic,"2,310"
Uruguay,"1,930"
Trinidad And Tobago,"1,850"
Bolivia,"1,660"
Costa Rica,"1,570"
Chile,"1,390"
Poland,"1,380"
Nicaragua,"1,370"
Pakistan,"1,310"
Nigeria,"1,010"
Guyana,960
Belize,830
Canada,730
Indonesia,710
China,690
Kenya,680
Portugal,500
United Kingdom,490
Mongolia,470
Bangladesh,470
Ghana,470
Panama,430
Italy,350
Israel,340
"Bahamas, The",290
Saint Lucia,260
Albania,250
Taiwan,240
Jordan,230
Turkey,220
Germany,210
Paraguay,210
Thailand,200
South Africa,190
Saudi Arabia,190
Zambia,180
Hong Kong,170
United Arab Emirates,170
Egypt,170
Armenia,170
France,160
Lithuania,160
Malaysia,150
Ukraine,150
Senegal,150
Haiti,150
Russia,140
Guinea,140
Saint Vincent And The Grenadines,130
Grenada,130
Japan,130
Cameroon,130
Sri Lanka,130
Côte D'Ivoire,130
Morocco,120
Zimbabwe,120
"Gambia, The",120
Liberia,120
Suriname,110
Spain,110
Lebanon,110
Greece,100
Romania,100
Barbados,100
Sierra Leone,100
Czech Republic,90
Fiji,90
Dominica,90
Hungary,90
Antigua And Barbuda,80
Malawi,80
New Zealand,80
Tanzania,80
Bulgaria,70
Macedonia,70
Uganda,60
Nepal,60
Kuwait,60
Cabo Verde,60
Iran,60
Netherlands,60
Tonga,60
Montenegro,50
Angola,50
Mali,50
Australia,50
North Vietnam,50
Slovakia,40
Democratic Republic Of Congo,40
Singapore,40
Uzbekistan,40
Qatar,40
Cambodia,40
Serbia,30
Ethiopia,30
Togo,30
Yemen,30
Turks And Caicos Islands,30
"Virgin Islands, British",30
Yugoslavia,30
Saint Kitts And Nevis,30
Estonia,30
Sweden,30
Syria,30
Belgium,30
Samoa,30
Bahrain,30
Congo,30
Austria,20
Gabon,20
Ireland,20
Botswana,20
Western Samoa,20
Cayman Islands,20
Vietnam,20
Netherlands Antilles,20
Belarus,20
Bermuda,20
Algeria,20
Benin,20
Georgia,10
Latvia,10
Switzerland,10
Croatia,10
Denmark,10
Kosovo,10
Libya,10
Burkina Faso,10
Burundi,10
French Guiana,10
Laos,10
Oman,10
Ussr,10
Azerbaijan,10
Kazakhstan,10
Montserrat,10
Afghanistan,10
Guadeloupe,10
Iraq,10
Moldova,10
Niger,10
Macau,D
Namibia,D
Kyrgyzstan,D
Madagascar,D
Norway,D
Somalia,D
Cyprus,D
Lesotho,D
Slovenia,D
Aruba,D
Bosnia And Herzegovina,D
Central African Republic,D
Mauritius,D
Rwanda,D
Brunei,D
Chad,D
Luxembourg,D
Tunisia,D
Cuba,D
Mozambique,D
Sudan,D
Tuvalu,D
Bhutan,D
Eritrea,D
Marshall Islands,D
Mauritania,D
"Micronesia, Federated States Of",D
Palau,D
Tajikistan,D
Turkmenistan,D
Zaire,D
Anguilla,D
British Virgin Islands,D
Burma,D
"Germany, West",D
Guinea-Bissau,D
Malta,D
Mayotte,D
Papua New Guinea,D
Swaziland,D
Andorra,D
Equatorial Guinea,D
Finland,D
French Polynesia,D
Iceland,D
Kiribati,D
"Korea, North",D
Martinique,D
Monaco,D
New Caledonia,D
Palestine,D
St. Vincent-Grenadines,D
Not available,"1,380"
