Country,Accepted Initials,Accepted Renewals,Accepted Total,Approved Initials,Approved Renewals,Approved Total
Mexico,640890,896244,1537134,706368,932933,1639301
El Salvador,29355,43204,72559,34468,45207,79675
Guatemala,20642,28410,49052,24878,29776,54654
Honduras,18886,27262,46148,22668,28466,51134
Peru,9232,13549,22781,9823,14078,23901
South Korea,7378,13129,20507,7895,13791,21686
Brazil,7534,10361,17895,8601,10784,19385
Ecuador,6823,9720,16543,7783,10126,17909
Colombia,6700,9510,16210,7288,9845,17133
Philippines,4756,7042,11798,5119,7304,12423
Argentina,4901,6634,11535,5260,6846,12106
Jamaica,3498,4583,8081,4433,4793,9226
India,3230,4974,8204,3786,5238,9024
Venezuela,3159,4423,7582,3483,4573,8056
Dominican Republic,3229,3934,7163,3826,4093,7919
Uruguay,2456,3134,5590,2640,3241,5881
Bolivia,2102,3089,5191,2237,3212,5449
Costa Rica,2088,2936,5024,2288,3040,5328
Poland,1839,2462,4301,2001,2556,4557
Chile,1783,2534,4317,1907,2620,4527
Pakistan,1718,2469,4187,1948,2567,4515
Nicaragua,1637,2235,3872,1905,2332,4237
Tobago,2095,1703,3798,2442,1716,4158
Guyana,1292,1821,3113,1485,1904,3389
All Others,25581,33920,59501,30837,35549,66386
Not Reported,1254,1643,2897,1602,1818,3420
